707.90039, -457.40039, 16.4
706.40039, -457.59961, 16.700001
704, -457.5, 16.5

700.2002, -461.09961, 16.4
700.2002, -461.09961, 16.4
711.5, -456.7998, 16.6
711.5, -456.7998, 16.6
710, -465.5, 16.1
710, -465.5, 16.1
619.2002, -627.2998, 19.5
619.2002, -627.2998, 19.5
700.2002, -461.09961, 16.4
710, -465.5, 16.1
704, -457.5, 16.5
706.40039, -457.59961, 16.700001
707.90039, -457.40039, 16.4
711.5, -456.7998, 16.6
711.5, -456.7998, 16.6
627.2002, -571, 17.4
627.2002, -571, 17.4
629.53522, -563.47809, 16.203138
629.53522, -563.47809, 16.203138
-2490, 2369.1006, 9.3000002
-2490, 2369.1006, 9.3000002
1971.1611, 2304.7451, 16.148813
1971.1611, 2304.7451, 16.148813
1971.1611, 2304.7451, 16.148813
1970.459, 2307.917, 16.026749
1970.459, 2307.917, 16.026749
1970.459, 2307.917, 16.026749
1970.459, 2307.917, 16.026749
1970.459, 2307.917, 16.026749
1971.1611, 2304.7451, 16.148813
1971.1611, 2304.7451, 16.148813
1970.459, 2307.917, 16.026749
1971.1611, 2304.7451, 16.148813
1970.459, 2307.917, 16.026749
1971.1611, 2304.7451, 16.148813
1970.459, 2307.917, 16.026749
1971.1611, 2304.7451, 16.148813
1970.459, 2307.917, 16.026749
822.7002, -1102.7002, 24.799999
822.7002, -1102.7002, 24.799999
946.40039, -1099.7002, 23.299999
946.40039, -1099.7002, 23.299999
822.7002, -1102.7002, 24.799999
822.7002, -1102.7002, 24.799999
946.40039, -1099.7002, 23.299999
946.40039, -1099.7002, 23.299999
822.7002, -1102.7002, 24.799999
822.7002, -1102.7002, 24.799999
1494.1067, -1729.2412, 7.0086198
1494.1276, -1729.2305, 7.0085063
1494.1276, -1729.2305, 7.0085063
1494.1276, -1729.2305, 7.0085063
1494.1276, -1729.2305, 7.0085063
585.59082, 875.73047, -43.097317
585.59082, 875.73047, -43.097317
